@relation water_potability

@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Conductivity numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Potability numeric

@data
?,204.890455,20791.318981,7.300212,368.516441,564.308654,10.379783,86.99097,2.963135,0
3.71608,129.422921,18630.057858,6.635246,?,592.885359,15.180013,56.329076,4.500656,0
8.099124,224.236259,19909.541732,9.275884,?,418.606213,16.868637,66.420093,3.055934,0
8.316766,214.373394,22018.417441,8.059332,356.886136,363.266516,18.436524,100.341674,4.628771,0
9.092223,181.101509,17978.986339,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
5.584087,188.313324,28748.687739,7.544869,326.678363,280.467916,8.399735,54.917862,2.559708,0
10.223862,248.071735,28749.716544,7.513408,393.663396,283.651634,13.789695,84.603556,2.672989,0
8.635849,203.361523,13672.091764,4.563009,303.309771,474.607645,12.363817,62.798309,4.401425,0
?,118.988579,14285.583854,7.804174,268.646941,389.375566,12.706049,53.928846,3.595017,0
11.180284,227.231469,25484.508491,9.0772,404.041635,563.885481,17.927806,71.976601,4.370562,0
7.36064,165.520797,32452.614409,7.550701,326.624353,425.383419,15.58681,78.740016,3.662292,0
7.974522,218.6933,18767.656682,8.110385,?,364.09823,14.525746,76.485911,4.011718,0
7.119824,156.704993,18730.813653,3.606036,282.34405,347.715027,15.929536,79.500778,3.445756,0
?,150.174923,27331.361962,6.838223,299.415781,379.761835,19.370807,76.509996,4.413974,0
7.496232,205.344982,28388.004887,5.072558,?,444.645352,13.228311,70.300213,4.777382,0
6.347272,186.732881,41065.234765,9.629596,364.487687,516.743282,11.539781,75.071617,4.376348,0
7.051786,211.049406,30980.600787,10.094796,?,315.141267,20.397022,56.651604,4.268429,0
9.18156,273.813807,24041.32628,6.90499,398.350517,477.974642,13.387341,71.457362,4.503661,0
8.975464,279.357167,19460.398131,6.204321,?,431.44399,12.888759,63.821237,2.436086,0
7.37105,214.49661,25630.320037,4.432669,335.754439,469.914551,12.509164,62.797277,2.560299,0
?,227.435048,22305.567414,10.333918,?,554.820086,16.331693,45.382815,4.133423,0
6.660212,168.283747,30944.363591,5.858769,310.930858,523.671298,17.884235,77.042318,3.749701,0
?,215.977859,17107.224226,5.60706,326.943978,436.256194,14.189062,59.855476,5.459251,0
3.902476,196.903247,21167.500099,6.996312,?,444.478883,16.609033,90.181676,4.528523,0
5.400302,140.739062,17266.593422,10.056852,328.358241,472.874073,11.256381,56.931906,4.824786,0
6.514415,198.767351,21218.702871,8.670937,323.596349,413.29045,14.9,79.847843,5.200885,0
3.445062,207.92626,33424.768678,8.782147,384.007006,441.785876,13.805902,30.284597,4.184397,0
?,145.768181,13224.935639,7.906445,304.001993,298.990666,12.729525,49.536849,4.004871,0
?,266.421018,26362.965012,7.700063,395.38949,364.480107,10.348951,53.008381,3.991564,0
?,148.153061,15193.413474,9.046833,307.011793,563.804743,16.568656,52.676185,6.038185,0
7.181449,209.625601,15196.229987,5.994679,338.336431,342.111286,7.922598,71.537953,5.08886,0
9.82549,190.756618,19677.892466,6.757541,?,452.836235,16.899038,47.081971,2.857472,0
10.433291,117.79123,22326.892046,8.161505,307.707509,412.986834,12.890709,65.733478,5.057311,0
7.414148,235.044534,32555.852537,6.845952,387.175316,411.983364,10.244815,44.489297,3.160624,0
?,232.280452,14787.206265,5.474915,?,383.981723,12.166937,86.080727,5.029167,0
5.115817,191.952743,19620.545329,6.060713,323.836384,441.748379,10.966486,49.238231,3.902089,0
3.64163,183.908722,24752.07246,5.538314,286.059556,456.860096,9.034067,73.594657,3.464353,0
5.618064,304.235912,17281.975168,6.101084,?,399.471566,12.265002,81.588992,2.896547,0
